"Status","Name","Duration in ms","Description"
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\AdminNotification\Model\System\Message\Media\Synchronization\Error""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\SalesRule\Model\Rule\Action\Discount\Data""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Downloadable\Block\Adminhtml\Catalog\Product\Composite\Fieldset\Downloadable""","1",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Customer\Api\GroupRepositoryInterface""","0",""
"passed","JSCS.app/code/Magento/Ui/view/base/web/js/form/element/single-checkbox-toggle-notice.js","0",""
"skipped","Magento\Test\Integrity\App\Language\TranslationFilesTest.testDefaultLocale with data set ""/var/www/html/app/code/Magento/ConfigurableProduct/i18n/en_US.csv""","0",""
"passed","JSCS.lib/web/mage/backend/tree-suggest.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllBlocksReferencedInLayoutArePublic with data set ""app/code/Magento/CustomerImportExport/view/adminhtml/layout/customer_index_grid_block.xml""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Eav\Setup\EavSetup""","1",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\SendFriend\Model\SendFriend""","0",""
"passed","JSCS.app/code/Magento/Bundle/view/adminhtml/web/js/components/bundle-dynamic-rows-grid.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Variable\Controller\Adminhtml\System\Variable\Edit""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Sales\Block\Adminhtml\Order\Create\Sidebar\AbstractSidebar""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Eav\Model\Entity\Attribute""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Config\Model\Config\Structure\Mapper\Path""","0",""
